      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       1.005        0.126        0.000        0.000  1  0.1057989E+02  0.1382859E+02  0.1027323E+02  0.2528784E+01
       1.005        0.188        0.000        0.000  1  0.1281032E+02  0.7015023E+01  0.1271443E+02  0.1564520E+01
       1.005        0.251        0.000        0.000  1  0.1335615E+02  0.1174193E+03 -0.6150482E+01  0.1185573E+02
       1.005        0.314        0.000        0.000  1  0.5915496E+01 -0.1499419E+03 -0.5119968E+01 -0.2962941E+01
       1.005        0.377        0.000        0.000  1  0.1703180E+01 -0.1084156E+03 -0.5380487E+00 -0.1615960E+01
       1.005        0.440        0.000        0.000  1  0.5043497E+01  0.1662358E+03 -0.4898663E+01  0.1199984E+01
       1.005        0.502        0.000        0.000  1  0.7609820E+01 -0.1775364E+03 -0.7602787E+01 -0.3271013E+00
       1.005        0.565        0.000        0.000  1  0.1007581E+02 -0.1738482E+03 -0.1001779E+02 -0.1079745E+01
       1.005        0.628        0.000        0.000  1  0.9546160E+01  0.1785213E+03 -0.9542981E+01  0.2463375E+00
       1.005        0.691        0.000        0.000  1  0.1619136E+02 -0.1796687E+03 -0.1619109E+02 -0.9362580E-01
       1.005        0.754        0.000        0.000  1  0.1618876E+02 -0.1768693E+03 -0.1616460E+02 -0.8841239E+00
       1.005        0.816        0.000        0.000  1  0.1488154E+02 -0.1673955E+03 -0.1452288E+02 -0.3247454E+01
       1.005        0.879        0.000        0.000  1  0.1392141E+02 -0.1420022E+03 -0.1097055E+02 -0.8570453E+01
       1.005        0.942        0.000        0.000  1  0.1768281E+02 -0.1114965E+03 -0.6479767E+01 -0.1645280E+02
       1.005        1.005        0.000        0.000  1  0.3002376E+02 -0.9810088E+02 -0.4230839E+01 -0.2972416E+02
       1.068        0.063        0.000        0.000  1  0.1948630E+02  0.2856400E+02  0.1711450E+02  0.9317183E+01
       1.068        0.126        0.000        0.000  1  0.1326571E+02  0.5764575E+02  0.7099174E+01  0.1120628E+02
       1.068        0.188        0.000        0.000  1  0.4142467E+01  0.1319152E+03 -0.2767292E+01  0.3082552E+01
       1.068        0.251        0.000        0.000  1  0.1434494E+02  0.3948397E+02  0.1107146E+02  0.9121409E+01
       1.068        0.314        0.000        0.000  1  0.1458391E+01  0.5020296E+02  0.9334725E+00  0.1120506E+01
       1.068        0.377        0.000        0.000  1  0.5847671E+01  0.1163105E+03 -0.2591898E+01  0.5241881E+01
       1.068        0.440        0.000        0.000  1  0.9366016E+01  0.1436911E+03 -0.7547474E+01  0.5545980E+01
       1.068        0.502        0.000        0.000  1  0.1177866E+02  0.1706369E+03 -0.1162174E+02  0.1916269E+01
       1.068        0.565        0.000        0.000  1  0.9863986E+01  0.1676118E+03 -0.9634317E+01  0.2116166E+01
       1.068        0.628        0.000        0.000  1  0.1737819E+02  0.1641223E+03 -0.1671517E+02  0.4754421E+01
       1.068        0.691        0.000        0.000  1  0.1707628E+02  0.1737097E+03 -0.1697347E+02  0.1870977E+01
       1.068        0.754        0.000        0.000  1  0.1370101E+02 -0.1704644E+03 -0.1351170E+02 -0.2269724E+01
       1.068        0.816        0.000        0.000  1  0.1404704E+02 -0.1368954E+03 -0.1025586E+02 -0.9598792E+01
       1.068        0.879        0.000        0.000  1  0.1984827E+02 -0.1003763E+03 -0.3574925E+01 -0.1952367E+02
       1.068        0.942        0.000        0.000  1  0.2775409E+02 -0.9854350E+02 -0.4123160E+01 -0.2744612E+02
       1.068        1.005        0.000        0.000  1  0.4200212E+02 -0.8112259E+02  0.6481805E+01 -0.4149896E+02
       1.068        1.068        0.000        0.000  1  0.2778647E+02 -0.7559993E+02  0.6910244E+01 -0.2691350E+02
       1.130        0.063        0.000        0.000  1  0.1868229E+02  0.7577214E+02  0.4591710E+01  0.1810922E+02
       1.130        0.126        0.000        0.000  1  0.7344542E+01  0.1484745E+03 -0.6260544E+01  0.3840297E+01
       1.130        0.188        0.000        0.000  1  0.1471321E+02  0.1777508E+03 -0.1470187E+02  0.5774246E+00
       1.130        0.251        0.000        0.000  1  0.2873938E+02  0.1027452E+02  0.2827853E+02  0.5126087E+01
       1.130        0.314        0.000        0.000  1  0.5412311E+01  0.6699730E+02  0.2114993E+01  0.4981958E+01
       1.130        0.377        0.000        0.000  1  0.9258987E+01  0.1224233E+03 -0.4964389E+01  0.7815605E+01
       1.130        0.440        0.000        0.000  1  0.1339539E+02  0.1601377E+03 -0.1259852E+02  0.4551228E+01
       1.130        0.502        0.000        0.000  1  0.1351182E+02  0.1647453E+03 -0.1303575E+02  0.3555094E+01
       1.130        0.565        0.000        0.000  1  0.1797421E+02  0.1532877E+03 -0.1605591E+02  0.8079603E+01
       1.130        0.628        0.000        0.000  1  0.1878649E+02  0.1556928E+03 -0.1712110E+02  0.7733050E+01
       1.130        0.691        0.000        0.000  1  0.1621672E+02  0.1665636E+03 -0.1577284E+02  0.3768196E+01
       1.130        0.754        0.000        0.000  1  0.1640988E+02 -0.1641535E+03 -0.1578625E+02 -0.4480891E+01
       1.130        0.816        0.000        0.000  1  0.2349474E+02 -0.1138414E+03 -0.9496736E+01 -0.2148987E+02
       1.130        0.879        0.000        0.000  1  0.3012287E+02 -0.9897546E+02 -0.4699516E+01 -0.2975403E+02
       1.130        0.942        0.000        0.000  1  0.3999390E+02 -0.9131488E+02 -0.9177383E+00 -0.3998337E+02
       1.130        1.005        0.000        0.000  1  0.3312238E+02 -0.8409048E+02  0.3410208E+01 -0.3294636E+02
       1.130        1.068        0.000        0.000  1  0.2618212E+02 -0.7675763E+02  0.5997557E+01 -0.2548593E+02
       1.130        1.130        0.000        0.000  1  0.1814354E+02 -0.6800245E+02  0.6795970E+01 -0.1682269E+02
       1.193        0.063        0.000        0.000  1  0.9211767E+01  0.1555519E+03 -0.8385807E+01  0.3812466E+01
       1.193        0.126        0.000        0.000  1  0.8528530E+01  0.1757473E+03 -0.8505049E+01  0.6324316E+00
