      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       1.005        0.440        0.000        0.000  1  0.1114150E+02 -0.1791149E+03 -0.1114017E+02 -0.1721133E+00
       1.005        0.502        0.000        0.000  1  0.1097550E+02  0.1753724E+03 -0.1093972E+02  0.8854886E+00
       1.005        0.565        0.000        0.000  1  0.1006111E+02  0.1659890E+03 -0.9761786E+01  0.2435874E+01
       1.005        0.628        0.000        0.000  1  0.8793734E+01  0.1460947E+03 -0.7298455E+01  0.4905334E+01
       1.005        0.691        0.000        0.000  1  0.8762350E+01  0.1142520E+03 -0.3599146E+01  0.7989051E+01
       1.005        0.754        0.000        0.000  1  0.1098692E+02  0.8713606E+02  0.5489526E+00  0.1097319E+02
       1.005        0.816        0.000        0.000  1  0.1217403E+02  0.6777163E+02  0.4605424E+01  0.1126930E+02
       1.005        0.879        0.000        0.000  1  0.8695037E+01  0.5977995E+02  0.4376407E+01  0.7513370E+01
       1.005        0.942        0.000        0.000  1  0.4739412E+01  0.5906667E+02  0.2436248E+01  0.4065307E+01
       1.005        1.005        0.000        0.000  1  0.4812725E+01  0.0000000E+00  0.4812725E+01  0.0000000E+00
       1.068        0.063        0.000        0.000  1  0.2137943E+02 -0.1511760E+03 -0.1873063E+02 -0.1030747E+02
       1.068        0.126        0.000        0.000  1  0.1239879E+02 -0.1695510E+03 -0.1219318E+02 -0.2248654E+01
       1.068        0.188        0.000        0.000  1  0.3194522E+01  0.1007830E+03 -0.5976648E+00  0.3138115E+01
       1.068        0.251        0.000        0.000  1  0.7919342E+01 -0.1647128E+03 -0.7639128E+01 -0.2087989E+01
       1.068        0.314        0.000        0.000  1  0.1654103E+02 -0.1664869E+03 -0.1608311E+02 -0.3865106E+01
       1.068        0.377        0.000        0.000  1  0.1592933E+02 -0.1670253E+03 -0.1552265E+02 -0.3576463E+01
       1.068        0.440        0.000        0.000  1  0.1726756E+02 -0.1705441E+03 -0.1703294E+02 -0.2836853E+01
       1.068        0.502        0.000        0.000  1  0.1793116E+02 -0.1750180E+03 -0.1786342E+02 -0.1557190E+01
       1.068        0.565        0.000        0.000  1  0.1751716E+02 -0.1794392E+03 -0.1751632E+02 -0.1714486E+00
       1.068        0.628        0.000        0.000  1  0.1578378E+02  0.1741399E+03 -0.1570129E+02  0.1611525E+01
       1.068        0.691        0.000        0.000  1  0.1262689E+02  0.1619011E+03 -0.1200213E+02  0.3922653E+01
       1.068        0.754        0.000        0.000  1  0.9500834E+01  0.1364414E+03 -0.6884965E+01  0.6546991E+01
       1.068        0.816        0.000        0.000  1  0.9049390E+01  0.9626778E+02 -0.9879696E+00  0.8995297E+01
       1.068        0.879        0.000        0.000  1  0.1032849E+02  0.7285074E+02  0.3045479E+01  0.9869283E+01
       1.068        0.942        0.000        0.000  1  0.1179961E+02  0.6259261E+02  0.5431528E+01  0.1047517E+02
       1.068        1.005        0.000        0.000  1  0.1137395E+02  0.3812204E+02  0.8947862E+01  0.7021578E+01
       1.068        1.068        0.000        0.000  1  0.9775365E+01  0.0000000E+00  0.9775365E+01  0.0000000E+00
       1.130        0.063        0.000        0.000  1  0.1674471E+02 -0.1528294E+03 -0.1489694E+02 -0.7646333E+01
       1.130        0.126        0.000        0.000  1  0.6576360E+01 -0.1478045E+03 -0.5565147E+01 -0.3503948E+01
       1.130        0.188        0.000        0.000  1  0.9524684E+01  0.3832273E+02  0.7472404E+01  0.5906165E+01
       1.130        0.251        0.000        0.000  1  0.3686876E+02 -0.1597309E+03 -0.3458570E+02 -0.1277242E+02
       1.130        0.314        0.000        0.000  1  0.2091525E+02 -0.1622818E+03 -0.1992313E+02 -0.6365271E+01
       1.130        0.377        0.000        0.000  1  0.1831664E+02 -0.1591882E+03 -0.1712152E+02 -0.6507904E+01
       1.130        0.440        0.000        0.000  1  0.1941748E+02 -0.1598335E+03 -0.1822709E+02 -0.6694159E+01
       1.130        0.502        0.000        0.000  1  0.2072447E+02 -0.1649193E+03 -0.2001072E+02 -0.5392077E+01
       1.130        0.565        0.000        0.000  1  0.2058386E+02 -0.1709972E+03 -0.2033028E+02 -0.3221001E+01
       1.130        0.628        0.000        0.000  1  0.1921866E+02 -0.1754600E+03 -0.1915836E+02 -0.1521252E+01
       1.130        0.691        0.000        0.000  1  0.1711562E+02  0.1798857E+03 -0.1711558E+02  0.3413203E-01
       1.130        0.754        0.000        0.000  1  0.1466742E+02  0.1701570E+03 -0.1445151E+02  0.2507391E+01
       1.130        0.816        0.000        0.000  1  0.1244688E+02  0.1423491E+03 -0.9854783E+01  0.7603155E+01
       1.130        0.879        0.000        0.000  1  0.1192488E+02  0.1017982E+03 -0.2438223E+01  0.1167296E+02
       1.130        0.942        0.000        0.000  1  0.1406905E+02  0.7362468E+02  0.3966463E+01  0.1349835E+02
       1.130        1.005        0.000        0.000  1  0.1334474E+02  0.5057243E+02  0.8475276E+01  0.1030786E+02
       1.130        1.068        0.000        0.000  1  0.9261600E+01  0.2722939E+02  0.8235246E+01  0.4237683E+01
       1.130        1.130        0.000        0.000  1  0.9078132E+01  0.0000000E+00  0.9078132E+01  0.0000000E+00
       1.193        0.063        0.000        0.000  1  0.1845546E+02 -0.9924966E+02 -0.2966469E+01 -0.1821548E+02
       1.193        0.126        0.000        0.000  1  0.8037324E+01 -0.6851434E+02  0.2943816E+01 -0.7478805E+01
       1.193        0.188        0.000        0.000  1  0.1331089E+02  0.5429638E+01  0.1325117E+02  0.1259521E+01
       1.193        0.251        0.000        0.000  1  0.3732212E+02 -0.1438093E+03 -0.3012103E+02 -0.2203779E+02
       1.193        0.314        0.000        0.000  1  0.1463818E+02 -0.1383623E+03 -0.1094001E+02 -0.9725865E+01
       1.193        0.377        0.000        0.000  1  0.1237158E+02 -0.1384804E+03 -0.9262956E+01 -0.8200825E+01
       1.193        0.440        0.000        0.000  1  0.1234889E+02 -0.1453194E+03 -0.1015495E+02 -0.7026524E+01
       1.193        0.502        0.000        0.000  1  0.1358401E+02 -0.1575531E+03 -0.1255480E+02 -0.5186735E+01
       1.193        0.565        0.000        0.000  1  0.1549501E+02 -0.1725812E+03 -0.1536530E+02 -0.2000737E+01
       1.193        0.628        0.000        0.000  1  0.1713173E+02  0.1778543E+03 -0.1711971E+02  0.6414387E+00
       1.193        0.691        0.000        0.000  1  0.1893801E+02  0.1752870E+03 -0.1887398E+02  0.1556019E+01
       1.193        0.754        0.000        0.000  1  0.2113750E+02  0.1742679E+03 -0.2103180E+02  0.2111161E+01
       1.193        0.816        0.000        0.000  1  0.2066514E+02  0.1642536E+03 -0.1988962E+02  0.5608123E+01
       1.193        0.879        0.000        0.000  1  0.1365334E+02  0.1448223E+03 -0.1115982E+02  0.7865888E+01
       1.193        0.942        0.000        0.000  1  0.7696129E+01  0.9816988E+02 -0.1093686E+01  0.7618022E+01
       1.193        1.005        0.000        0.000  1  0.8619038E+01  0.4649359E+02  0.5933653E+01  0.6251366E+01
       1.193        1.068        0.000        0.000  1  0.1030243E+02  0.4268738E+02  0.7572944E+01  0.6985025E+01
       1.193        1.130        0.000        0.000  1  0.1227036E+02  0.2922676E+02  0.1070827E+02  0.5991219E+01
       1.193        1.193        0.000        0.000  1  0.1107760E+02  0.0000000E+00  0.1107760E+02  0.0000000E+00
       1.256        0.063        0.000        0.000  1  0.3551663E+02 -0.6774375E+02  0.1345191E+02 -0.3287061E+02
       1.256        0.126        0.000        0.000  1  0.8899571E+01 -0.6708527E+02  0.3465145E+01 -0.8197265E+01
       1.256        0.188        0.000        0.000  1  0.1158417E+02  0.1825322E+02  0.1100127E+02  0.3628362E+01
       1.256        0.251        0.000        0.000  1  0.2703354E+02 -0.1446104E+03 -0.2203864E+02 -0.1565602E+02
       1.256        0.314        0.000        0.000  1  0.6369004E+01 -0.1069801E+03 -0.1859998E+01 -0.6091356E+01
       1.256        0.377        0.000        0.000  1  0.3846970E+01 -0.1023571E+03 -0.8232662E+00 -0.3757846E+01
       1.256        0.440        0.000        0.000  1  0.1821491E+01 -0.1176367E+03 -0.8449219E+00 -0.1613672E+01
       1.256        0.502        0.000        0.000  1  0.1963959E+01  0.1668401E+03 -0.1912383E+01  0.4471321E+00
       1.256        0.565        0.000        0.000  1  0.4836981E+01  0.1545059E+03 -0.4366001E+01  0.2081926E+01
       1.256        0.628        0.000        0.000  1  0.9064039E+01  0.1602139E+03 -0.8528925E+01  0.3068262E+01
       1.256        0.691        0.000        0.000  1  0.1398654E+02  0.1656485E+03 -0.1355007E+02  0.3466840E+01
       1.256        0.754        0.000        0.000  1  0.1877720E+02  0.1700605E+03 -0.1849537E+02  0.3241089E+01
       1.256        0.816        0.000        0.000  1  0.2031592E+02  0.1684831E+03 -0.1990688E+02  0.4056198E+01
       1.256        0.879        0.000        0.000  1  0.1524029E+02  0.1690728E+03 -0.1496396E+02  0.2888987E+01
